Date,U1,U3,Torq1
,-0.12223,-0.04592,0.0023
,-0.53153,-0.15863,-0.0015
,-0.36498,0.48624,0.0023
,-0.66344,0.28607,-0.0015
,-0.49784,0.69478,0.0023
,-0.70511,0.61095,-0.0006
,-0.5876,0.82233,0.0023
,-0.74603,0.67994,-0.0025
,-0.6013,0.81981,0.0023
,-0.7733,0.69446,-0.0015
,-0.69813,0.84475,0.0023
,-0.78758,0.75666,-0.0025
,-0.69868,0.89132,0.0032
,-0.74793,0.77071,-0.0015
,-0.65062,0.89479,0.0023
,-0.7293,0.72383,-0.0015
,-0.60003,0.83686,0.0032
,-0.6928,0.71199,-0.0025
,-0.60015,0.80418,0.0023
,-0.71999,0.73156,-0.0025
,-0.60611,0.83149,0.0023
,-0.73171,0.74624,-0.0025
,-0.65417,0.85643,0.0013
,-0.81374,0.7925,-0.0015
,-0.71324,0.97641,0.0032
,-0.85273,0.89684,-0.0015
,-0.75278,1.02803,0.0032
,-0.85194,0.92558,-0.0025
,-0.73905,1.05234,0.0023
,-0.81489,0.86117,-0.0015
,-0.68996,1.01398,0.0032
,-0.75649,0.8086,-0.0006
,-0.64632,0.90379,0.0023
,-0.73948,0.79739,-0.0015
,-0.6217,0.88848,0.0013
,-0.74824,0.83117,-0.0015
,-0.6578,0.95683,0.0032
,-0.78368,0.89984,-0.0015
,-0.69067,0.98983,0.0023
,-0.80265,0.91926,-0.0015
,-0.69221,1.00924,0.0023
,-0.77302,0.91295,-0.0006
,-0.68246,0.99946,0.0023
,-0.75412,0.8768,-0.0025
,-0.66999,0.96741,0.0023
,-0.74252,0.86259,-0.0015
,-0.66226,0.9633,0.0023
,-0.7297,0.71577,-0.0025
,-0.5498,0.89574,0.0023
,-0.5848,0.55333,-0.0015
,-0.39138,0.85296,0.0023
,-0.69545,0.51087,-0.0015
,-0.47037,1.03055,0.0032
,-0.88406,1.01966,-0.0006
,-0.62647,1.74741,0.0032
,-1.03309,1.72736,-0.0015
,-0.86405,2.1678,0.0023
,-1.04872,2.05067,-0.0015
,-0.93756,2.15628,0.0023
,-0.97612,1.93701,-0.0015
,-0.8725,2.1225,0.0013
,-0.93109,1.87891,-0.0015
,-0.84188,2.01925,0.0023
,-1.04785,1.97711,-0.0015
,-0.87909,2.28305,0.0032
,-1.20742,2.26079,-0.0006
,-1.02141,2.49395,0.0023
,-1.24807,2.44138,-0.0025
,-1.15656,2.52821,0.0032
,-1.22538,2.31904,-0.0015
,-1.11588,2.47043,0.0032
,-1.16725,2.15912,-0.0025
,-1.01557,2.35061,0.0023
,-1.06592,2.02194,-0.0015
,-0.92387,2.18122,0.0023
,-0.99332,1.91017,-0.0006
,-0.89874,2.03662,0.0023
