Date,U1,U3,Speed1
,-0.54112,2.08256,0
,-0.6943,1.4972,0
,-0.48142,1.77662,0
,-0.66861,1.32671,0
,-0.36241,1.70732,0
,-0.62612,1.32797,0
,-0.4147,1.64622,0
,-0.59609,1.36554,0
,-0.41915,1.80361,0
,-0.61171,1.5122,0
,-0.47613,1.85018,0
,-0.61645,1.69437,0
,-0.45447,1.88775,0
,-0.55142,1.87276,0
,-0.40676,2.13008,0
,-0.56626,1.78262,0
,-0.41935,2.06361,0
,-0.55174,1.66627,0
,-0.43174,1.88223,0
,-0.49614,1.62081,0
,-0.40621,1.78767,0
,-0.483,1.51014,0
,-0.35855,1.68506,0
,-0.46497,1.37801,0
,-0.31656,1.60013,0
,-0.39339,1.26104,0
,-0.28874,1.46215,0
,-0.35511,1.13111,0
,-0.27734,1.32829,0
,-0.36691,0.96031,0
,-0.20024,1.27556,0
,-0.37583,0.81033,0
,-0.20091,1.11138,0
,-0.3739,0.75445,0
,-0.19483,1.06055,0
,-0.37259,0.71783,0
,-0.28188,0.91705,0
,-0.39335,0.63148,0
,-0.28582,0.81918,0
,-0.40041,0.58554,0
,-0.29474,0.77229,0
,-0.42701,0.52729,0
,-0.2977,0.78871,0
,-0.42697,0.60006,0
,-0.28136,0.79755,0
,-0.34324,0.70962,0
,-0.22478,0.8959,0
,-0.28476,0.71956,0
,-0.1491,1.0004,0
,-0.24573,0.77276,0
,-0.11674,0.98477,0
,-0.18138,0.86859,0
,-0.09354,1.03718,0
,-0.15237,0.86811,0
,-0.05566,1.06402,0
,-0.1313,0.84854,0
,-0.02342,1.03766,0
,-0.11189,0.7685,0
,-0.01987,0.99346,0
,-0.09622,0.67931,0
,-0.01316,0.88785,0
,-0.11102,0.60448,0
,-0.00373,0.77497,0
,-0.09468,0.52539,0
,0.00751,0.69588,0
,-0.06047,0.4613,0
,0.02847,0.60622,0
,-0.07042,0.39263,0
,0.0377,0.5546,0
,-0.04615,0.33785,0
,0.05112,0.53123,0
,-0.01064,0.31417,0
