Date,U1,U2
,7.3505,0.96
,6.9206,-1.03
,7.2934,0.81
,6.9537,-0.9
,7.3689,0.96
,7.2068,-1.09
,7.662,0.91
,7.5004,-1.11
,7.923,0.96
,7.4957,-0.88
,7.9917,0.99
,7.4744,-0.9
,7.984,0.81
,7.2615,-1.01
,7.8954,0.78
,7.2989,-0.85
,7.7762,0.81
,7.1513,-1.03
,7.5528,1.02
,6.9269,-0.93
,7.4389,1.07
,6.6383,-0.95
,7.1905,0.78
,6.4651,-0.95
,6.939,0.86
,6.2647,-0.9
,6.5854,1.07
,6.0552,-0.98
,6.6059,0.83
,5.4311,-0.93
,6.1276,1.12
,4.8923,-0.9
,5.6001,0.91
,4.7323,-0.93
,5.2488,0.99
,4.6755,-0.98
,5.3517,1.02
,4.83,-0.95
,5.5227,0.83
,5.2846,-0.88
,5.6806,0.81
,5.0068,-0.85
,5.6987,0.99
,4.8576,-1.11
,5.4369,0.96
,4.7952,-0.98
,5.3064,0.94
,4.4069,-1.03
,5.0652,0.73
,4.2474,-0.95
,4.6887,0.96
,4.0588,-0.88
,4.6205,0.91
,3.7797,-0.93
,4.4448,0.94
,3.5468,-0.93
,4.0735,0.89
,3.3003,-0.74
,3.7368,0.94
,3.0911,-1.03
,3.5079,0.96
,2.8627,-1.32
,3.3455,0.81
,2.8491,-0.93
,3.1858,0.91
,2.7622,-1.03
,3.1443,0.86
,2.7843,-0.85
,3.1572,0.89
,2.7378,-0.98
,3.2292,0.78
,2.6972,-0.95
,3.1732,1.04
,2.5152,-0.9
,3.0937,0.83
,2.4181,-0.88
,2.8872,0.94
,2.2684,-0.95
,2.6925,0.83
,1.9592,-1.27
,2.4099,0.96
,1.8598,-1.27
,2.3305,1.07
,1.6677,-0.93
,2.2018,0.83
,1.6314,-0.93
,2.0903,0.83
,1.4641,-1.11
,1.9461,0.89
,1.2678,-0.95
,1.7927,0.91
,1.1841,-1.06
,1.6454,1.04
,0.905,-0.95
,1.4375,0.96
,0.7895,-1.14
,1.1555,0.96
,0.6861,-1.03
,1.0073,0.99
,0.4622,-0.93
,0.84,0.78
,0.3372,-0.98
,0.7458,0.94
,0.2036,-0.93
,0.6364,1.04
,0.017,-0.98
,0.4467,0.83
,-0.2945,-1.14
,0.3364,0.86
,-1.0506,-1.03
,-0.0448,0.89
,-1.9118,-1.03
,-0.7365,0.81
,-2.5593,-1.01
,-1.7087,0.78
,-2.7505,-0.93
,-2.2404,1.1
,-3.227,-0.98
,-2.6487,0.96
,-3.9787,-0.88
,-2.985,1.02
,-4.3994,-1.01
,-3.6069,0.91
,-4.377,-0.93
,-3.8545,0.86
,-4.2,-0.9
,-3.518,0.81
,-3.8787,-1.01
,-3.3415,1.02
,-3.7803,-0.95
,-3.1584,0.86
,-3.9203,-0.9
,-3.3799,0.99
,-4.2939,-0.88
,-3.5512,1.07
,-4.4165,-0.98
,-3.8864,0.96
,-4.5457,-1.03
,-4.0405,0.96
,-4.4507,-0.95
,-3.9982,1.1
,-4.382,-0.85
,-3.8622,0.96
,-4.3236,-0.88
,-3.8771,0.86
,-4.3934,-0.95
,-3.9363,0.91
,-4.5107,-0.85
,-3.9132,0.83
,-4.5752,-0.9
,-4.0529,0.89
,-4.412,-0.93
,-4.015,1.1
,-4.4565,-1.06
,-3.9821,1.04
,-4.3891,-0.95
,-4.0871,0.99
,-4.4386,-0.95
,-3.8653,0.91
,-4.0134,-0.95
,-3.4172,0.89
,-4.6578,-1.03
,-3.4528,0.86
,-5.8462,-0.98
,-4.5686,0.78
,-6.6316,-1.06
,-5.8344,0.91
,-6.8163,-0.95
,-6.3795,1.23
,-6.7973,-0.85
,-6.5169,1.2
,-7.1788,-1.01
,-6.5232,0.94
,-8,-0.95
,-7.1144,0.91
,-8.7217,-0.98
,-7.8663,1.07
,-8.9842,-0.9
,-8.4772,0.83
,-8.6822,-0.82
,-8.2828,0.83
,-8.453,-1.03
,-7.8779,0.83
,-7.8945,-0.95
,-7.2951,0.89
,-7.595,-0.98
,-7.202,0.89
,-7.3348,-0.9
,-7.047,1.04
,-7.3793,-1.01
,-6.9339,0.83
,-7.3638,-1.09
,-6.877,0.99
,-7.3188,-0.98
,-6.912,0.96
,-7.2767,-0.93
,-6.9691,0.91
,-7.3696,-1.14
,-7.0428,0.94
,-7.463,-0.9
,-7.0462,0.83
,-7.4146,-0.95
,-6.9641,0.99
,-7.4398,-0.93
,-7.0736,1.02
,-7.7376,-1.03
,-7.2335,0.94
,-7.7248,-1.14
,-7.3864,0.96
,-7.734,-0.93
,-7.057,0.86
,-7.4411,-0.98
,-6.8694,1.44
,-7.1415,-0.98
,-6.7629,1.12
,-7.1951,-0.98
,-6.7876,1.12
,-7.5287,-1.01
,-7.1294,0.86
,-7.6269,-0.98
,-7.2643,0.89
,-7.5243,-0.95
,-7.0791,1.04
,-7.4332,-0.93
,-6.9899,0.75
,-7.3861,-0.85
,-6.8734,0.99
,-7.2562,-1.03
,-6.8013,0.86
,-7.1265,-0.95
,-6.1598,0.94
,-6.4424,-1.03
,-5.5571,0.86
,-6.1753,-0.88
,-5.1674,0.99
,-6.0241,-0.93
,-5.3411,1.12
,-6.5363,-0.85
,-5.7733,0.89
,-6.6944,-1.14
,-5.8449,1.1
,-6.8689,-0.95
,-5.8886,0.99
,-6.7029,-0.93
,-5.6215,0.86
,-6.5476,-0.98
,-5.5415,0.86
,-6.048,-1.01
,-5.0782,0.81
,-5.8228,-0.9
,-4.7633,0.94
,-5.6718,-0.95
,-4.7093,0.89
,-5.3292,-0.95
,-4.4797,1.02
,-4.9077,-0.9
,-4.0674,1.12
,-4.6167,-0.93
,-3.8693,0.89
,-4.2515,-1.09
,-3.6422,0.91
,-3.8798,-1.17
,-3.382,0.96
,-3.7835,-0.98
,-3.1965,1.15
,-3.5212,-0.95
,-2.9413,0.89
