Date,U1,U3,Aux1
,0.96753,-1.04931,0
,0.74024,-1.23827,0
,0.89472,-0.91307,0
,0.76305,-1.21412,0
,0.89449,-0.9748,0
,0.75634,-1.2337,0
,0.92842,-1.00685,0
,0.81222,-1.29337,0
,0.95569,-0.97733,0
,0.80606,-1.37688,0
,1.0159,-0.95223,0
,0.80578,-1.43071,0
,0.95091,-1.10362,0
,0.78227,-1.30205,0
,0.93146,-1.09525,0
,0.71953,-1.23133,0
,0.85621,-0.95633,0
,0.61753,-1.23733,0
,0.82547,-0.90013,0
,0.62644,-1.22454,0
,0.83479,-0.81141,0
,0.58533,-1.18949,0
,0.77852,-0.7399,0
,0.52531,-1.1093,0
,0.70931,-0.73043,0
,0.5016,-1.00432,0
,0.67683,-0.69049,0
,0.47642,-0.91355,0
,0.59626,-0.65592,0
,0.40409,-0.88687,0
,0.52902,-0.6005,0
,0.37683,-0.79262,0
,0.48901,-0.5904,0
,0.35587,-0.774,0
,0.48601,-0.56514,0
,0.34309,-0.75142,0
,0.43826,-0.58582,0
,0.30702,-0.76768,0
,0.41621,-0.62197,0
,0.2925,-0.78852,0
,0.39399,-0.59956,0
,0.28003,-0.77731,0
,0.36897,-0.63445,0
,0.26003,-0.75016,0
,0.38251,-0.56751,0
,0.31665,-0.65323,0
,0.39683,-0.48684,0
,0.30714,-0.62087,0
,0.41348,-0.44233,0
,0.3043,-0.60824,0
,0.41368,-0.4076,0
,0.30051,-0.55015,0
,0.40318,-0.40365,0
,0.30047,-0.53247,0
,0.39979,-0.39165,0
,0.28994,-0.48542,0
,0.37892,-0.35408,0
,0.25995,-0.44769,0
,0.37513,-0.34098,0
,0.23915,-0.42638,0
,0.33062,-0.23489,0
,0.20546,-0.40444,0
,0.32135,-0.24136,0
,0.15057,-0.36545,0
,0.27226,-0.19195,0
,0.11087,-0.33372,0
,0.22207,-0.16433,0
,0.06597,-0.30277,0
,0.17223,-0.14933,0
,0.05362,-0.27357,0
,0.15092,-0.12518,0
,0.02872,-0.26426,0
,0.13542,-0.07656,0
,-0.02869,-0.24215,0
,0.11802,-0.08145,0
,-0.04014,-0.22021,0
,0.05074,-0.08145,0
,-0.12556,-0.21058,0
,0.03713,-0.04703,0
,-0.37853,-0.1678,0
,-0.05158,0.0821,0
,-0.52887,0.06457,0
,-0.29567,0.40524,0
,-0.60191,0.2638,0
,-0.4715,0.66177,0
,-0.69507,0.57495,0
,-0.55902,0.78506,0
,-0.78374,0.64804,0
,-0.63367,0.76912,0
,-0.84439,0.72855,0
,-0.73781,0.86242,0
,-0.846,0.79596,0
,-0.74929,0.9434,0
,-0.82477,0.80196,0
,-0.6826,0.9232,0
,-0.76866,0.62104,0
,-0.62093,0.87015,0
,-0.72917,0.64693,0
,-0.57228,0.88215,0
,-0.73402,0.63683,0
,-0.61694,0.83511,0
,-0.77135,0.67977,0
,-0.64125,0.82185,0
,-0.78713,0.75191,0
,-0.69594,0.87726,0
,-0.81286,0.77196,0
,-0.72834,0.89052,0
,-0.82063,0.82658,0
,-0.72782,0.91704,0
,-0.79672,0.78364,0
,-0.70975,0.91009,0
,-0.7629,0.76502,0
,-0.69953,0.86857,0
,-0.75959,0.7827,0
,-0.66986,0.86352,0
,-0.80623,0.80701,0
,-0.70762,0.92714,0
,-0.80919,0.86494,0
,-0.71835,0.96029,0
,-0.81167,0.90394,0
,-0.72451,0.97324,0
,-0.80828,0.90157,0
,-0.73362,0.97766,0
